Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
A00059344,Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused,1,-0.239914895145814,NaN,-0.887024568634976,NaN,0.885519907393375,NaN,0.798644683045435,NaN,0.972203869006422,NaN,0.873732043031318,NaN,NaN,-0.896868466004291,NaN,-0.73826139656891,NaN,-0.923489532144599,NaN,-0.0624230639673527,NaN,-0.574200853708434,NaN,0.896068688851751
A00059346,Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused,1,-0.769183861666232,NaN,0.709342233361986,NaN,-0.899268572814229,NaN,-0.932010307179163,NaN,-0.987408039699524,NaN,-0.691932035160314,NaN,NaN,-0.852691531112854,NaN,-0.367191758693922,NaN,-0.860519821871985,NaN,0.479844103151779,NaN,-0.71923521804342,NaN,0.485237286959344
A00059845,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,-0.975043669588439,NaN,0.702691342235385,NaN,-0.899368616406143,NaN,-0.613534666544635,NaN,-0.493534217589624,NaN,-0.796900334999753,NaN,NaN,-0.7996651825643,NaN,-0.00780059466589767,NaN,-0.434940741792424,NaN,-0.641679495282303,NaN,0.0331055224865286,NaN,0.363701455721733
A00059911,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,-0.632782975256193,NaN,0.989767514483605,NaN,0.975691543381672,NaN,0.794942202308855,NaN,0.808627430852065,NaN,0.862816358601809,0.275075033964952,NaN,-0.519266003294572,NaN,0.759180823973571,NaN,-0.519385722637049,NaN,0.971086456590896,NaN,0.926459417906339,NaN
A00060006,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,-0.0705192405207569,NaN,0.19743764653085,NaN,0.761877652127194,NaN,-0.926184201001126,NaN,0.779984608259458,NaN,0.421205109350325,0.938708600077204,NaN,-0.802941018547056,NaN,-0.973839020898883,NaN,0.313399601339923,NaN,0.501922861246771,NaN,-0.221084451676727,NaN
A00060093,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,0.79162488110253,NaN,-0.814375698084859,NaN,0.477640490083551,NaN,0.592291840415965,NaN,-0.682209391906103,NaN,-0.967303804903572,-0.832675620124917,NaN,0.952223794259953,NaN,0.244615387019452,NaN,0.953522473240891,NaN,0.918369384656545,NaN,0.804404059838155,NaN
A00060169,Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering,4,NaN,-0.530189043357807,NaN,0.563557706885107,NaN,0.697857234727573,NaN,-0.647916949040742,NaN,0.869989153253485,NaN,0.976529049558927,-0.382983123687098,NaN,-0.877541811300686,NaN,-0.621481475197895,NaN,0.862265141286292,NaN,0.778805448933571,NaN,0.741809671924753,NaN
A00060259,Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering,4,NaN,-0.923610513621816,NaN,0.386240434130959,NaN,0.0867615923288153,NaN,0.678080962670416,NaN,0.859187653310702,NaN,0.65434111172251,-0.672686133965866,NaN,0.944811761879223,NaN,0.832018660112397,NaN,-0.0555247590778456,NaN,0.876158127900558,NaN,-0.340136409415824,NaN
A00060279,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,-0.779706739235817,NaN,-0.938068367937004,NaN,-0.464384187178819,NaN,-0.697683963754632,NaN,-0.912692294229247,NaN,-0.314254273607869,NaN,NaN,-0.548676336324149,NaN,-0.691082382957551,NaN,-0.348891921128806,NaN,-0.87954734959461,NaN,-0.946772446307792,NaN,-0.895680281345898
A00060372,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,0.581785446030913,NaN,0.964517519322336,NaN,-0.453404569292986,NaN,0.955475166953456,NaN,0.903549118812602,NaN,0.239457922490169,-0.172161130884589,NaN,-0.796137510986761,NaN,-0.147266151973462,NaN,0.635665071785056,NaN,0.807532530950371,NaN,0.158268273447321,NaN
